repo_id,apity,apity_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
42283287,,0,9427,3,3411,15997,1028,19,5,0,1,13
47394776,HIT,0,10267,3,2007,2218,285,4,0,0,0,4
2573058,IMI,1,119385,3,3489,17043,1361,7,1,0,0,6
53238813,,0,52351,7,3334,20480,808,40,0,1,0,39
29261473,FFI,1,99597,4,2464,8484,354,140,43,2,4,91
41986369,FFI,1,228337,5,2154,14110,727,147,135,0,1,11
2562751,FFI_IMI,1,240604,3,5029,3588,158,27,11,0,0,16
94498635,IMI,1,19403,2,1454,1653,175,7,0,0,0,7
38558578,,0,5052,6,3417,3620,375,8,0,0,0,8
94367677,,0,8643,4,2371,7066,768,2,0,0,0,2
49609581,IMI_EBD,0,79915,10,2360,8905,489,68,11,0,1,56
30969188,IMI,1,8736,2,1520,1457,243,2,1,0,0,1
74175805,FFI_IMI,1,198558,8,1715,16151,887,326,76,1,3,246
1844251,IMI_EBD,0,73004,4,3415,2905,381,14,10,0,1,3
698041,IMI,1,5831,4,4064,1798,272,4,1,1,0,2
18049133,,0,3655,5,4732,11409,891,57,13,0,3,41
14098121,FFI_IMI,1,60237,19,1195,3297,83,5,1,0,0,4
135786093,,0,2622,2,1168,1301,188,0,0,0,0,0
3577919,,0,10570,4,3610,20480,1933,373,2,0,0,371
39176269,EBD,0,16535,2,2028,1102,323,1,1,0,0,0
53631945,,0,4445,5,2267,3249,473,25,0,0,0,25
6988020,,0,60689,7,3083,1365,197,4,0,0,0,4
13840241,IMI_EBD,0,21651,7,2826,4073,180,6,2,0,0,4
349241,IMI,1,6362,2,4275,2753,345,5,4,0,0,1
23405758,,0,1500,3,3736,1022,103,2,0,0,0,2
8575137,IMI_EBD,0,3909,5,2739,1016,115,1,0,0,0,1
29891188,IMI,1,3276,2,2374,1867,185,8,0,0,0,8
33263118,,0,119003,6,2588,9175,155,6,0,0,0,6
458058,IMI_EBD,0,200767,7,1775,20000,1423,1075,32,49,5,989
30203935,,0,220166,13,3762,20480,1573,33,0,0,0,33
1283503,IMI,1,2290,2,3567,2270,358,14,5,0,0,9
32247847,IMI_EBD,0,120406,6,2327,4846,521,10,8,1,0,1
3620194,IMI,1,12529,3,3384,2634,559,9,8,0,0,1
53127403,,0,47540,8,1967,20480,846,39,3,0,0,36
317757,,0,18700,5,4307,3012,418,5,0,0,0,5
52773157,IMI_EBD,0,20383,3,1986,4734,775,4,1,0,0,3
6452529,FFI_IMI,1,279364,18,3135,20000,231,132,45,0,3,84
13078968,,0,9137,2,2874,4134,466,1,0,0,0,1
67508428,IMI_EBD,0,600030,4,1786,1593,36,0,0,0,0,0
57222302,IMI,1,4264,3,1919,1296,320,8,3,0,0,5
31085130,IMI,1,310017,2,2334,2143,91,1,1,0,0,0
25315643,IMI_EBD,0,87026,9,1215,6116,125,25,8,0,0,17
790359,IMI_EBD,0,29963,3,4001,8829,1110,24,8,0,0,16
13855476,IMI,1,3713,2,2833,2250,302,8,8,0,0,0
7548986,IMI,1,57207,5,2118,20000,2477,47,16,10,0,21
2700159,FFI_IMI,1,64912,8,3715,6462,244,4,2,0,0,2
13584262,IMI,1,13601,2,2845,2994,193,25,3,0,5,17
5625464,,0,4268,7,3643,3299,412,1,0,0,0,1
2541284,EBD,0,6194,2,3586,1515,151,1,1,0,0,0
119811010,IMI_EBD,0,71761,4,1179,1727,74,0,0,0,0,0
64355429,IMI,1,32902,3,1433,3031,206,0,0,0,0,0
42920477,,0,6508,2,3654,1348,79,4,0,0,0,4
137724480,,0,84631,20,3645,10859,912,32,1,0,0,31
16607898,FFI,1,28458,2,2727,3848,335,18,2,2,1,13
1116542,FFI_IMI,1,28271,5,5427,5274,64,49,34,0,1,14
1028340,IMI_EBD,0,39967,6,4131,7956,523,9,1,0,0,8
7607075,IMI_EBD,0,145650,5,3107,1085,166,0,0,0,0,0
1254497,IMI_EBD,0,18359,4,3843,6972,1001,20,6,6,0,8
53370988,IMI_EBD,0,89742,6,2022,4726,322,18,2,0,0,16
34757182,,0,7768,2,2233,1281,88,1,0,0,0,1
519832,FFI_IMI,1,50020,9,4181,9391,440,78,3,3,0,72
39840932,FFI_IMI,1,9818,7,4773,3721,405,20,15,0,0,5
12244426,,0,722,3,2885,2027,371,1,0,0,0,1
4037197,IMI,1,36493,5,3390,2819,190,30,6,0,0,24
23338716,,0,18036,2,4125,17878,1215,32,1,0,0,31
15308499,EBD,0,2494,3,2753,1063,182,4,2,0,0,2
11276147,FFI,1,2670,4,2931,1292,161,1,0,0,0,1
33884891,,0,125666,11,2483,20480,2996,224,0,1,1,222
402046,IMI_EBD,0,103756,3,4421,2232,201,12,4,0,0,8
3602123,EBD,0,10221,3,2642,1199,106,0,0,0,0,0
18044526,IMI,1,4116,3,2211,1424,160,31,0,0,0,31
45431898,IMI_EBD,0,48184,3,1999,1984,231,4,0,0,0,4
1631024,IMI_EBD,0,3045,5,3179,1283,130,4,0,0,0,4
19745004,FFI_IMI,1,3680915,14,1448,20000,838,537,15,9,10,503
1801829,IMI_EBD,0,71439,4,3606,20000,1136,86,34,2,2,48
5405654,IMI_EBD,0,36977,4,3272,2534,254,4,0,0,0,4
13124802,IMI,1,159287,5,1659,20000,338,114,73,0,6,35
24635156,,0,4483,4,2455,1283,250,11,0,0,0,11
47071941,,0,11799,4,2061,2963,636,7,1,0,0,6
59996401,IMI_EBD,0,223605,5,2631,5747,110,0,0,0,0,0
308770,HIT,0,5507,2,4252,3750,702,23,2,4,0,17
7212645,IMI,1,55932,5,3147,11928,1493,15,0,1,0,14
5532320,IMI_EBD,0,30190,4,3196,6850,200,5,4,0,0,1
10567197,IMI_EBD,0,12022,14,2971,7003,482,54,2,0,2,50
19620844,,0,82905,4,2582,2299,209,2,0,0,0,2
1431547,IMI_EBD,0,48840,4,3836,8437,1260,48,2,29,0,17
25880891,FFI_IMI,1,87016,14,2465,12294,925,160,32,0,0,128
16587283,,0,21225,14,2724,20480,3058,58,11,0,1,46
23069399,IMI,1,46178,3,2519,1435,122,1,0,0,0,1
58842707,,0,2947,5,2802,1527,180,7,0,1,0,6
1580851,,0,28686,4,3757,2170,240,1,0,0,0,1
38934449,,0,6518,2,2200,1558,372,1,0,0,0,1
401025,FFI_IMI,1,7247,9,4122,3311,256,21,0,0,0,21
