repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
5259347,php_shell,0,39350,4,3278,3179,196,0,0,0,0,0
53762444,python_shell,0,321037,8,2830,20480,418,31,5,0,1,25
8445877,javascript_shell,0,2922,13,3601,1244,123,3,0,0,0,3
9549081,c_cpp,0,60672,20,4830,18589,183,256,173,0,2,81
50647838,cpp_java,1,74869,18,3214,9466,204,499,172,0,6,321
43964563,css_html_javascript_shell_typescript,0,10623,8,2116,2240,124,10,1,0,0,9
12769892,php_shell,0,246,2,3183,1018,94,0,0,0,0,0
50422569,cpp_java,1,11825,7,1466,1412,25,5,4,0,0,1
4290226,html_python_shell,0,56516,21,3353,2616,159,6,1,0,0,5
21655399,python_shell,0,13274,5,2548,1200,46,3,0,0,0,3
9052236,html_java,0,43572,10,3044,4741,138,6,0,0,0,6
19387849,python_shell,0,5194,3,2721,1059,49,3,0,0,0,3
5086313,css_html_javascript_python,0,11701,5,3297,2629,126,8,4,0,0,4
49816276,c_cpp_shell,0,9983,5,1807,2373,20,20,17,0,0,3
74593040,javascript_typescript,0,8705,2,1701,1268,43,3,1,0,0,2
10691398,html_javascript_shell,0,5406,3,4754,1026,120,1,0,0,0,1
10458362,c_shell,0,66371,13,6086,14782,409,413,365,0,0,48
75460401,css_html_javascript_shell,0,23399,4,1629,1177,7,0,0,0,0,0
2315698,python_shell,0,1195,2,4831,1534,123,5,1,2,0,2
32695583,css_html_javascript_shell,0,11057,6,2310,1674,36,21,0,0,9,12
541983,css_html_javascript_php,0,79594,9,3703,20000,292,179,2,5,2,170
127765544,go_shell,0,37231,4,1206,1156,100,5,0,0,0,5
15101579,c_cpp_python_shell,0,86729,25,4309,20000,454,347,212,0,1,134
32093805,css_javascript,0,1449,2,3020,1103,52,9,0,0,0,9
473155,ruby_shell,0,3869,2,4191,1020,232,1,0,0,0,1
37843831,css_html_javascript_python,0,3350,4,2205,1134,103,0,0,0,0,0
52171557,c_cpp_python_shell,0,38829,6,2292,6096,114,50,2,0,0,48
1461954,c_cpp_python,0,175361,13,4705,2613,90,42,11,0,0,31
132129752,html_python_shell,0,26929,5,3181,1457,77,1,0,0,0,1
76000349,javascript_python,0,1549,6,3002,1378,99,0,0,0,0,0
7048939,css_html_javascript_ruby,0,3895,5,3028,1212,131,1,0,0,0,1
4693675,css_html_java_javascript,0,7898,19,3150,1352,107,0,0,0,0,0
22329177,html_java,0,69335,6,2560,4795,49,2,2,0,0,0
23620921,c_python,0,404,6,3493,1906,339,0,0,0,0,0
2916562,css_javascript_php,0,9609,3,3256,1377,33,7,0,0,0,7
64629613,javascript_php,0,62096,6,3630,5757,433,23,2,13,1,7
29352975,html_javascript,0,582,2,2500,1213,71,1,0,0,0,1
5128084,c_cpp_python,0,167378,15,6576,10546,114,274,170,0,0,104
10160528,css_html_javascript_php,0,11518,7,5248,3962,154,13,8,0,0,5
48806149,javascript_python,0,281446,11,1784,5383,52,47,20,0,0,27
32181539,python_shell,0,952,2,2304,1189,78,1,0,0,0,1
27268808,c_cpp_python_shell,0,15903,9,2407,4304,42,12,6,0,0,6
63733328,javascript_typescript,0,3900,2,2424,5392,179,6,1,0,0,5
21694966,css_html_javascript_shell_typescript,0,10030,5,2582,2570,114,2,0,0,0,2
11591855,html_javascript,0,2364,2,2850,1121,90,1,0,0,0,1
39602644,python_shell,0,203,2,2317,1025,41,1,0,0,0,1
35233843,html_typescript,0,5827,4,2230,1008,29,1,0,0,0,1
23025258,html_ruby,0,267,2,2497,1233,125,2,0,0,0,2
81784084,python_shell,0,5877,3,3910,5689,52,0,0,0,0,0
21793531,c_python,0,4448,7,2557,1395,48,7,0,0,0,7
40499714,c_shell,0,1195541,31,675,20000,268,72,1,0,0,71
690903,html_javascript_python,0,16542,13,5854,20480,1139,39,0,0,0,39
19401646,c_cpp,0,129635,15,5861,14874,88,537,126,0,0,411
15592447,html_python_shell,0,7073,11,2753,2443,34,8,1,1,0,6
27840307,css_html_javascript_shell_typescript,0,240362,7,2812,8485,428,34,1,0,0,33
93790457,php_shell,0,28642,3,3668,1221,179,1,0,0,0,1
1561299,css_html_javascript_ruby,0,303,4,3758,1204,110,1,0,0,0,1
93504839,html_javascript_shell_typescript,0,59271,6,1381,20000,300,52,6,0,1,45
116067411,html_javascript,0,134109,2,2096,1824,102,2,0,0,0,2
2515323,php_shell,0,8298,3,3787,1791,243,6,0,0,0,6
25968851,c_cpp_shell,0,7473,8,2465,1051,45,12,10,0,0,2
47497008,css_html_javascript_ruby,0,107692,4,1764,1048,160,0,0,0,0,0
4436959,ruby_shell,0,754,3,3347,1210,121,0,0,0,0,0
3153959,c_python_shell,0,10332,4,3477,4588,129,9,0,0,0,9
70590564,html_python_shell,0,20828,4,1545,1406,37,3,0,0,0,3
7026843,css_javascript_php,0,1852,6,3035,1378,86,0,0,0,0,0
2242705,c_cpp_python_shell,0,2981,6,4318,1629,146,3,0,0,0,3
7954105,objectivec_ruby,0,772,3,3951,1097,87,4,0,0,0,4
87180009,css_html_javascript_typescript,0,133591,4,2201,4656,136,5,2,0,0,3
29504192,c#_shell,0,61714,4,2250,3372,185,13,7,0,0,6
38644318,go_shell,0,57767,6,2207,1042,62,5,2,0,0,3
12064766,html_javascript_typescript,0,1047,3,3984,1083,248,1,0,0,0,1
39682214,css_html_javascript_php,0,60488,11,6655,10706,93,42,0,10,1,31
3860377,css_html_javascript_shell,0,907,5,3383,1016,88,0,0,0,0,0
59617593,css_html_javascript,0,13406,3,1490,1378,24,1,0,0,0,1
938693,css_html_javascript,0,49535,8,3936,1010,17,2,0,0,1,1
9133677,html_java,0,15192,4,3951,4238,92,22,0,0,0,22
58473989,html_javascript_typescript,0,6202,4,1963,1151,5,0,0,0,0,0
2948949,css_html_java_javascript,0,281734,5,4584,17298,147,262,43,17,3,199
3215654,css_html_javascript_python_shell,0,25607,8,3477,2164,86,11,4,5,0,2
11745275,html_javascript_python_shell,0,28722,5,2920,3325,110,6,0,0,0,6
37728539,cpp_shell,0,4058,3,2891,1280,65,9,8,0,0,1
10994345,c_cpp_python,0,895671,31,2655,20000,393,336,208,0,1,127
9712011,c_cpp_python,0,7246,14,3925,1324,50,5,4,0,0,1
299271,css_html_javascript_php,0,87267,6,4915,17937,129,143,8,16,25,94
4345812,c_cpp_python_shell,0,42276,8,3350,1873,88,0,0,0,0,0
924562,c#_shell,0,46766,4,4729,2976,137,5,5,0,0,0
103826422,javascript_shell,0,1643,6,1448,1580,28,16,0,0,0,16
1204125,java_shell,0,59667,3,4374,1081,44,3,1,0,0,2
30043131,c_cpp_python,0,7015,7,1883,1288,48,14,6,0,0,8
119111364,cpp_python_shell,0,68857,7,1278,2256,89,41,8,0,0,33
17356911,javascript_shell,0,3536,8,1965,1928,201,2,0,0,0,2
14146757,c_python,0,31262,16,5221,12743,244,397,257,0,1,139
97003332,python_shell,0,13494,2,2285,1449,175,1,0,0,0,1
23404128,html_javascript_python_shell,0,60840,8,2500,9383,66,42,11,2,3,26
2407157,css_html_javascript_python,0,13227,6,5539,7254,149,22,15,0,0,7
47674448,css_html_javascript_typescript,0,4601,4,1756,1244,34,12,1,0,0,11
5797013,html_java_javascript,0,1160550,12,4833,5182,169,12,3,0,0,9
2113176,javascript_typescript,0,13228,3,3582,1690,36,3,0,0,0,3
