language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
markdown,3,0.0002469948954388276,5612105,9.649235877989912e-05,2.981189652865789,0.9937,0.006,0.9936,0.9998001352388868,0.9878164731352316
haml,41,0.003375596904330644,4781762,8.221576298092926e-05,2.944340379519688,0.0718,0.1642,0.0177,0.9646095455858381,8.607202374528508e-06
nix,103,0.008480158076733081,49909869,0.0008581309484063048,2.6894610004963737,0.0261,0.1339,0.0013,0.9643238133601446,1.5580153377421705e-05
actionscript,31,0.0025522805862012183,8462125,0.00014549449832823046,2.621632140607504,0.0846,0.1979,0.0104,0.9936329588014982,4.385108393280532e-06
mustache,173,0.014243372303639057,7178013,0.00012341597417061514,2.5836967942307,0.0149,0.0516,0.0013,0.5248291595993303,3.3982688131219936e-07
postscript,51,0.004198913222460069,8108335,0.00013941157015551445,2.4857978329463903,0.0487,0.1056,0.0021,0.4019223893426603,1.3619473755519223e-07
shaderlab,31,0.0025522805862012183,4647078,7.99000584725653e-05,2.4397852099107964,0.0787,0.1099,0.0228,0.39946692694646746,3.957088469274431e-06
reason,14,0.0011526428453811955,3458487,5.9463885376274496e-05,2.280450718902589,0.1629,0.3296,0.0046,0.953271706025884,3.672964118369543e-06
svelte,27,0.0022229540589494483,1357081,2.3333124869435672e-05,2.230789913215191,0.0826,0.1617,0.0173,0.7479532986355324,0.0001239115496828991
digital command language,57,0.004692903013337724,5227177,8.98740559006e-05,2.205652468118974,0.0387,0.1653,0.0006,0.9099212334506452,2.046135964885527e-06
smali,6,0.0004939897908776552,4068730,6.995616706004948e-05,2.0720668586504125,0.3453,0.4435,0.1212,0.9684910183592456,0.005217082360714186
freemarker,78,0.006421867281409518,8400043,0.00014442708447589276,2.0401334635482047,0.0262,0.0915,0.0021,0.6756913119670641,8.100781936077161e-07
nim,16,0.0013173061090070806,11745210,0.00020194258968163622,2.0216972308041,0.1264,0.3358,0.0009,0.999541582305077,1.9578832441280778e-05
purescript,11,0.0009056479499423678,875810,1.5058337779322278e-05,2.0209437190461563,0.1837,0.3528,0.0015,0.9869539082617826,3.4307906600155073e-06
nunjucks,14,0.0011526428453811955,694291,1.1937370428681384e-05,2.0102021196390645,0.1436,0.2384,0.019,0.8195665127364814,0.0002001823916074556
swig,79,0.00650419891322246,13904501,0.00023906860244907502,1.8402382048400732,0.0233,0.0916,0.0017,0.7438380290166556,9.9775350255824e-07
hlsl,69,0.005680882595093035,19639636,0.00033767629137705424,1.8122594456950472,0.0263,0.0475,0.0064,0.2674266804298986,2.7127876094898752e-05
raku,81,0.006668862176848345,17428175,0.00029965328784455536,1.8034143456339156,0.0223,0.1089,0.0007,0.9344997797970538,4.345606966628446e-06
gdscript,6,0.0004939897908776552,708169,1.2175983383205122e-05,1.7726516028563966,0.2954,0.4562,0.0039,0.9498696468079211,0.0002788186582576617
asl,14,0.0011526428453811955,5003551,8.602911710766692e-05,1.7191769468646583,0.1228,0.3032,0.0014,0.9173793383608615,1.0853622975527975e-05
nsis,152,0.012514408035567266,4196610,7.215488622884149e-05,1.7133630022593715,0.0113,0.0517,0.0017,0.5389374866652443,2.564093744518077e-05
autohotkey,7,0.0005763214226905978,822103,1.413492043182218e-05,1.7036321024215049,0.2434,0.4226,0.0006,0.9901369247770614,5.791191227734321e-05
livescript,10,0.0008233163181294253,654592,1.1254801205332354e-05,1.6852024766693587,0.1685,0.3057,0.0062,0.9724428536978512,0.00018457781374678762
yacc,189,0.01556067841264614,24384181,0.0004192521596809039,1.6230682196395152,0.0086,0.0161,0.0028,0.11934847242157064,2.2108417533134185e-05
vhdl,13,0.001070311213568253,355112884,0.006105673327618193,1.5661188121559564,0.1205,0.2721,0.0048,0.8461353515893162,9.231257777334678e-07
vim snippet,26,0.002140622427136506,2857237,4.91262258498732e-05,1.5220187094776032,0.0585,0.1952,0.0015,0.9899871268598844,7.242315192282175e-06
openscad,8,0.0006586530545035403,79146566,0.001360815387928231,1.5096619571137346,0.1887,0.3566,0.0114,0.9984422199669364,1.1313706693060248e-05
pov-ray sdl,26,0.002140622427136506,67875891,0.0011670317691627875,1.4964084000808842,0.0576,0.1448,0.0011,0.6856122934699463,2.556224554856542e-06
racket,15,0.001234974477194138,23983116,0.00041235640347640307,1.469878205715913,0.098,0.2613,0.0026,0.9878451962736832,2.937251515330002e-05
awk,146,0.01202041824468961,2689315,4.623904004863851e-05,1.4641995640837564,0.01,0.0826,0.0003,0.98526617542884,3.48113250117151e-07
f*,4,0.00032932652725177014,16998440,0.00029226459076916566,1.3495052585093086,0.3374,0.3888,0.3317,0.6859276696065623,0.00020306069218612355
tcl,88,0.0072451835995389425,16232487,0.00027909509168022486,1.3459300156515472,0.0153,0.0421,0.001,0.2509556762623474,2.450220059670469e-07
verilog,20,0.0016466326362588506,24022120,0.00041302702313905214,1.3275720787455894,0.0664,0.1487,0.0021,0.5317541722551896,1.9156034907659293e-07
fortran,50,0.004116581590647127,70602945,0.00121391967895424,1.3146630220703153,0.0263,0.0779,0.0013,0.4844279464822973,2.9934898331481155e-07
coq,12,0.0009879795817553103,16738782,0.0002878001317299868,1.2459993364593163,0.1038,0.1938,0.0024,0.537973261171187,2.150925121167403e-06
mathematica,20,0.0016466326362588506,2122143,3.6487304449622994e-05,1.2424492020972586,0.0621,0.1264,0.0021,0.5039755129366893,1.4810858983272615e-06
hack,83,0.00683352544047423,21019832,0.0003614068465998417,1.2165859308916123,0.0147,0.0439,0.0003,0.2779673568693572,2.2955086307681254e-07
standard ml,49,0.004034249958834184,43619379,0.0007499747007984343,1.1499741049098886,0.0235,0.1044,0.0008,0.7215483889906508,3.3989871130150736e-07
processing,21,0.0017289642680717932,1741571,2.9943896946451944e-05,1.1071378924304176,0.0527,0.2142,0.0025,0.9870648123673014,7.774717969288737e-05
meson,87,0.0071628519677260005,3327226,5.720703460355939e-05,1.0791412196745291,0.0124,0.0218,0.0071,0.14563689353677353,2.7042702849534e-06
antlr,66,0.005433887699654207,6321265,0.0001086853810331095,1.0532793212038665,0.016,0.0784,0.0012,0.6357876464185838,1.0921177011650469e-05
gnuplot,39,0.003210933640704759,985387,1.6942362258198744e-05,1.0376916395097675,0.0266,0.1381,0.0002,0.8570448307410796,5.0975059407853264e-06
lex,156,0.012843734562819035,10200777,0.0001753882071197426,1.0201389322079801,0.0065,0.0245,0.001,0.23518363496897784,2.9260714015261686e-06
moonscript,9,0.0007409846863164828,664849,1.1431156088928691e-05,0.9931325174058658,0.1103,0.2151,0.0019,0.560936284687424,0.00038829928136136193
restructuredtext,1,8.233163181294254e-05,10363118,0.00017817943536951476,0.9912283554462514,0.9912283554462514,0.9912283554462514,0.9912283554462514,0.9912283554462514,0.9912283554462514
stan,3,0.0002469948954388276,22945678,0.0003945190964930339,0.9402000681563957,0.3134,0.5201,0.0264,0.9137528282155417,2.1596210469756452e-05
factor,4,0.00032932652725177014,15329324,0.00026356645701769985,0.9163782688827039,0.2291,0.4529,0.0036,0.9083967752832739,0.0007274009742764565
dm,2,0.00016466326362588507,24634496,0.00042355597879832786,0.9118881991685869,0.4559,0.6436,0.4559,0.9110505859254806,0.0008376132431062226
pony,4,0.00032932652725177014,3516780,6.046615263078179e-05,0.8970530801489998,0.2243,0.2875,0.1459,0.6040471674429155,0.0012470303518016112
zig,5,0.00041165815906471265,25531275,0.00043897484943853846,0.8781893444209933,0.1756,0.3869,0.0031,0.8678133136101216,0.00017602811599134904
cartocss,2,0.00016466326362588507,565942,9.730587455618466e-06,0.872185808339094,0.4361,0.5965,0.4361,0.8579052773150587,0.014280531024035294
llvm,33,0.0027169438498271035,12463317,0.00021428944318604444,0.8620537354363514,0.0261,0.0766,0.0006,0.39797263426975726,1.4159260501246555e-05
visual basic .net,45,0.003704923431582414,79103793,0.001360079965540002,0.8610284317202153,0.0191,0.0568,0.0016,0.3193625033960285,1.6642221895809562e-06
nesc,4,0.00032932652725177014,16421223,0.00028234014533240763,0.8573741032089754,0.2143,0.2672,0.1518,0.5536944050100822,1.2023816223262163e-05
red,2,0.00016466326362588507,5930615,0.00010196869630298283,0.8533833933029935,0.4267,0.602,0.4267,0.8523914828835256,0.0009919104194678952
metal,25,0.0020582907953235635,1470806,2.5288468453036483e-05,0.7855373657046085,0.0314,0.1018,0.0013,0.4950387057811614,1.6948813552667624e-05
systemverilog,15,0.001234974477194138,26018740,0.0004473561337645879,0.7540037764509517,0.0503,0.131,0.0024,0.49910557884621826,2.3390593308641144e-05
classic asp,18,0.0014819693726329656,7184350,0.00012352493009314122,0.7498169520306579,0.0417,0.117,0.0003,0.47846285190634424,2.491264873855009e-06
arc,10,0.0008233163181294253,705717,1.2133824645311175e-05,0.7495293325498187,0.075,0.2355,0.0005,0.745285069155521,5.929765362305543e-07
robotframework,16,0.0013173061090070806,2026650,3.484543480944896e-05,0.7294136338607475,0.0456,0.0894,0.0028,0.28467682826680313,7.820808843930736e-05
dhall,11,0.0009056479499423678,347834,5.9805230165592825e-06,0.7033047826526706,0.0639,0.2045,0.0012,0.6804465159468551,2.7469553231954525e-05
zeek,5,0.00041165815906471265,4233082,7.278197166459519e-05,0.6916306331079638,0.1383,0.1921,0.018,0.42876627978194337,0.0009257830581700355
objective-j,6,0.0004939897908776552,7179537,0.00012344217723609245,0.6791076190771899,0.1132,0.259,0.0082,0.6418515921052597,2.06413486618038e-05
frege,1,8.233163181294254e-05,2899927,4.986022116826334e-05,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335
g-code,7,0.0005763214226905978,35681110,0.0006134871795493931,0.6093363677662561,0.087,0.1297,0.0074,0.28002610122030036,0.00011899544319354361
q#,4,0.00032932652725177014,1247328,2.144607431475605e-05,0.5964356822132938,0.1491,0.1699,0.1488,0.29887206666975874,2.8895255819799087e-06
chapel,4,0.00032932652725177014,20230505,0.000347835464011907,0.5951742561206483,0.1488,0.2916,0.0043,0.5861435463418269,0.0005290188903828774
mercury,4,0.00032932652725177014,228239,3.924252927478263e-06,0.5611331555720575,0.1403,0.2184,0.0466,0.4633075006161514,0.0047170851059139905
ren'py,1,8.233163181294254e-05,6903178,0.00011869056767425173,0.559010802323799,0.559010802323799,0.559010802323799,0.559010802323799,0.559010802323799,0.559010802323799
ada,28,0.002305285690762391,13250603,0.0002278257336108301,0.5503844659451315,0.0197,0.0647,0.0018,0.3418061892744522,1.8633565007996328e-06
visual basic,4,0.00032932652725177014,449983,7.736833341652615e-06,0.5447169730448025,0.1362,0.2414,0.0239,0.4968165253026985,5.328712138024493e-05
hy,8,0.0006586530545035403,320786,5.515470185174497e-06,0.5340453003914681,0.0668,0.1766,0.0039,0.5036408019834298,0.00048493398285097097
qmake,122,0.01004445908117899,2432658,4.18261790406259e-05,0.5279478121400135,0.0043,0.0064,0.0014,0.03263778949375938,2.4742278722504345e-06
vcl,9,0.0007409846863164828,178856,3.0751807605056637e-06,0.4964432504628595,0.0552,0.1382,0.0012,0.4186234687428293,1.8287457179586556e-05
vbscript,66,0.005433887699654207,1132387,1.9469823298333448e-05,0.4937847441817722,0.0075,0.0222,0.0002,0.09641682952152994,1.9627154773145014e-07
mako,53,0.0043635764860859546,1581021,2.7183462456699383e-05,0.4638617539480174,0.0088,0.0335,0.0004,0.2231988040145771,2.7937453583674032e-05
renderscript,12,0.0009879795817553103,711801,1.2238430583870219e-05,0.45138165143073433,0.0376,0.0758,0.0001,0.2197556217270767,3.046665575423871e-06
sourcepawn,32,0.002634612218014161,2161170,3.7158319565359986e-05,0.4459596355067364,0.0139,0.0353,0.0006,0.14776822804959905,7.424440616546761e-07
asp.net,47,0.003869586695208299,6428036,0.00011052116023526068,0.43422548499463554,0.0092,0.0176,0.0005,0.07247156633115992,1.6254957668883976e-06
terra,13,0.001070311213568253,963824,1.6571616391474765e-05,0.41811770692297856,0.0322,0.0764,0.0026,0.2794046925802937,3.008449425761464e-08
common workflow language,4,0.00032932652725177014,963267,1.6562039549302284e-05,0.4154827316691899,0.1039,0.1343,0.0572,0.3008666528096563,0.00013295894498203928
ragel,35,0.0028816071134529888,1289590,2.217271076698852e-05,0.4060439866725555,0.0116,0.0221,0.0018,0.10510356909476155,2.752716134772504e-05
nasl,70,0.0057632142269059775,7701910,0.0001324236561879175,0.40565990420788384,0.0058,0.0189,0.0003,0.11769871046169528,1.1457807857008958e-07
nu,3,0.0002469948954388276,374042,6.431133213429012e-06,0.39987204552089445,0.1333,0.23,0.0006,0.39885661097570435,0.00046289152908501776
openedge abl,16,0.0013173061090070806,870539,1.4967710247740305e-05,0.3895241593242365,0.0243,0.0878,0.0006,0.3528448007731093,3.9275104997785164e-07
logos,21,0.0017289642680717932,1425492,2.4509357095399314e-05,0.357652750125881,0.017,0.0403,0.0022,0.18335682729432243,7.258644703440638e-06
dafny,1,8.233163181294254e-05,2742610,4.715537362778122e-05,0.35731906667964297,0.35731906667964297,0.35731906667964297,0.35731906667964297,0.35731906667964297,0.35731906667964297
sed,85,0.006998188704100116,323446,5.561205194472173e-06,0.3549672913610474,0.0042,0.0276,0.0001,0.2519830028328612,4.26790629788075e-07
idris,3,0.0002469948954388276,1211025,2.0821894599517887e-05,0.3318393884851778,0.1106,0.1867,0.0044,0.32624396822180834,0.0012343774108933806
slim,26,0.002140622427136506,167432,2.8787609311009097e-06,0.3295527155442522,0.0127,0.024,0.0012,0.09722961837532526,5.374697001456543e-06
prolog,33,0.0027169438498271035,1503247,2.5846246436730427e-05,0.3284908738964221,0.01,0.0337,0.0004,0.17037381164239218,2.725516640525869e-06
odin,2,0.00016466326362588507,2051427,3.527144094680554e-05,0.3221114841927119,0.1611,0.2248,0.1611,0.31998514054360794,0.002126343649103948
liquid,23,0.0018936275316976782,420962,7.237857512769967e-06,0.31943219712127213,0.0139,0.0333,0.0018,0.15335894856892757,2.6459110169541356e-07
cobol,14,0.0011526428453811955,3022101,5.196083358402808e-05,0.3121463458252647,0.0223,0.0418,0.0026,0.1315355624692008,1.6020300925332582e-06
io,7,0.0005763214226905978,832715,1.431737904786238e-05,0.30599771935245873,0.0437,0.1054,0.0005,0.28200917466823716,1.0067431475712114e-05
closure templates,4,0.00032932652725177014,462398,7.95029204106263e-06,0.3041287843502252,0.076,0.111,0.0263,0.24128211376224126,0.010255482779024268
tla,4,0.00032932652725177014,6659509,0.00011450101730562191,0.30097826905113817,0.0752,0.136,0.0104,0.2790049377577244,0.0012005856281994164
smalltalk,85,0.006998188704100116,2188535,3.762882277191295e-05,0.2797864509076014,0.0033,0.0095,0.0003,0.07547116950865931,4.605360884460663e-09
agda,5,0.00041165815906471265,2864119,4.924455229122154e-05,0.275033971254654,0.055,0.1194,0.0015,0.2685977633551514,0.0006560338755938769
zephir,4,0.00032932652725177014,2716748,4.6710712420842695e-05,0.27171167405120605,0.0679,0.1219,0.0108,0.25014671511001463,6.325796108890385e-05
applescript,55,0.004528239749711839,151180,2.5993303404596223e-06,0.25472908192092736,0.0046,0.0147,0.0004,0.10361049708099529,1.6634084193488151e-06
lfe,2,0.00016466326362588507,217235,3.7350544153310365e-06,0.25212522660514075,0.1261,0.1767,0.1261,0.2509783742535302,0.0011468523516105552
ballerina,3,0.0002469948954388276,9297330,0.0001598546894712625,0.24831780726714897,0.0828,0.1417,0.0017,0.24638961856809244,0.00020887730531216842
thrift,58,0.004775234645150667,1710957,2.9417531692828247e-05,0.23056175969762557,0.004,0.0073,0.0011,0.03736989615364591,2.3815206200775796e-05
gap,41,0.003375596904330644,2519115,4.3312687198087986e-05,0.2147977233713659,0.0052,0.0137,0.0015,0.0869581920821081,6.913576575132869e-06
scilab,22,0.0018112958998847356,2433322,4.1837595599337807e-05,0.1817656006701137,0.0083,0.024,0.0001,0.10947246766674829,2.5165505375746124e-07
plsql,55,0.004528239749711839,1854954,3.1893360314571624e-05,0.17918883001105718,0.0033,0.0109,0.0009,0.08053228741680957,1.5630401297993182e-06
