label_id,repository_count,cluster_topics,languages,combinations
2,113,['language website'],"['javascript', 'typescript', 'python', 'shell', 'c', 'c++', 'go', 'java', 'assembly', 'c#', 'php', 'objective-c', 'ruby', 'perl']","{'javascript typescript': 13, 'python shell': 9, 'javascript shell typescript': 7, 'go shell': 7, 'c c++ python shell': 7, 'javascript python shell': 5, 'java shell': 4, 'javascript php': 4, 'c c++ java javascript': 4, 'objective-c ruby': 4, 'java javascript': 4, 'c c++': 3, 'javascript shell': 3, 'c c++ java': 3, 'javascript python': 2, 'go javascript shell': 2, 'java javascript shell': 2, 'go javascript': 2, 'c c# c++': 2, 'java javascript objective-c ruby': 2, 'javascript php shell': 2, 'assembly c c++': 2, 'c c++ javascript python': 2, 'c c++ javascript': 2, 'assembly c c# c++': 1, 'go python': 1, 'c python shell': 1, 'c c++ python': 1, 'javascript ruby': 1, 'c# shell': 1, 'c c++ shell': 1, 'ruby shell': 1, 'c c++ perl': 1, 'c c++ objective-c': 1, 'c java': 1, 'c go': 1, 'c python': 1, 'java javascript python': 1, 'java python': 1, 'c javascript': 1}"
36,21,['native video editing'],"['c', 'c++', 'objective-c', 'javascript', 'shell', 'typescript', 'java', 'ruby', 'python', 'assembly', 'php', 'go', 'c#']","{'javascript shell typescript': 3, 'c c++ java javascript': 2, 'java javascript': 2, 'javascript python shell': 2, 'c c++ objective-c': 1, 'javascript ruby shell': 1, 'python shell': 1, 'assembly c c++': 1, 'javascript php': 1, 'c c++ python shell': 1, 'c c++ javascript': 1, 'go javascript': 1, 'java javascript objective-c': 1, 'javascript typescript': 1, 'c c# c++': 1, 'c java': 1}"
32,186,['official_repository database access library'],"['c', 'c++', 'javascript', 'ruby', 'typescript', 'shell', 'python', 'java', 'go', 'c#', 'assembly', 'objective-c', 'php', 'perl']","{'javascript typescript': 16, 'c c# c++': 11, 'go shell': 11, 'python shell': 9, 'javascript python shell': 9, 'java javascript': 8, 'c c++ javascript': 7, 'javascript shell': 6, 'go javascript': 5, 'go javascript shell': 5, 'objective-c ruby': 5, 'java javascript objective-c ruby': 4, 'c c++ java': 4, 'c go': 4, 'c# javascript': 4, 'javascript php': 4, 'javascript shell typescript': 4, 'c c++ python shell': 4, 'c c++': 3, 'assembly c c++': 3, 'ruby shell': 3, 'c# shell': 3, 'javascript php shell': 3, 'assembly c': 3, 'c objective-c ruby': 3, 'c javascript': 3, 'java shell': 3, 'c python shell': 3, 'c c#': 3, 'c c++ shell': 3, 'javascript ruby shell': 2, 'c java': 2, 'c python': 2, 'java python': 2, 'c shell': 2, 'java javascript shell': 2, 'c c++ objective-c': 2, 'c c++ java javascript': 2, 'php shell': 2, 'go python': 2, 'c c++ perl': 2, 'javascript ruby': 1, 'java javascript python': 1, 'c c++ javascript python': 1, 'java javascript objective-c': 1, 'javascript python': 1, 'c++ python': 1, 'c objective-c': 1, 'c c++ python': 1}"
39,113,['environment'],"['java', 'shell', 'javascript', 'go', 'python', 'c', 'c#', 'c++', 'ruby', 'assembly', 'typescript', 'objective-c', 'perl', 'php']","{'go shell': 11, 'java shell': 10, 'javascript typescript': 8, 'python shell': 8, 'javascript shell': 7, 'javascript ruby shell': 4, 'java javascript': 4, 'javascript python': 3, 'c c# c++': 3, 'assembly c c++': 3, 'java javascript python': 3, 'javascript python shell': 3, 'javascript php': 3, 'c c++ java': 3, 'ruby shell': 3, 'objective-c ruby': 3, 'c c++ python shell': 3, 'java javascript shell': 2, 'c c++ perl': 2, 'go python': 2, 'assembly c c# c++': 2, 'php shell': 2, 'javascript php shell': 2, 'c shell': 2, 'go javascript': 2, 'javascript shell typescript': 2, 'c objective-c ruby': 1, 'c c++ objective-c': 1, 'c c++': 1, 'c c++ java javascript': 1, 'c objective-c': 1, 'c java': 1, 'javascript ruby': 1, 'c c++ javascript': 1, 'c# shell': 1, 'java javascript objective-c': 1, 'java javascript objective-c ruby': 1, 'java python': 1, 'c++ python': 1}"
43,131,['source project active development'],"['javascript', 'typescript', 'shell', 'java', 'php', 'python', 'ruby', 'c', 'c++', 'c#', 'go', 'assembly', 'objective-c']","{'javascript typescript': 13, 'javascript shell typescript': 11, 'java shell': 11, 'javascript shell': 10, 'c# javascript': 7, 'javascript ruby shell': 6, 'c c++': 6, 'python shell': 6, 'javascript python shell': 4, 'c c# c++': 4, 'go shell': 4, 'go python': 4, 'javascript python': 3, 'c go': 3, 'c c++ javascript': 3, 'javascript php': 3, 'php shell': 2, 'c c++ java': 2, 'c python shell': 2, 'ruby shell': 2, 'java python': 2, 'java javascript objective-c ruby': 2, 'c c++ python shell': 2, 'c javascript': 2, 'javascript php shell': 2, 'c java': 1, 'assembly c c++': 1, 'c objective-c': 1, 'c c++ java javascript': 1, 'c c++ python': 1, 'java javascript': 1, 'assembly c c#': 1, 'go javascript': 1, 'go javascript shell': 1, 'assembly c c# c++': 1, 'c shell': 1, 'objective-c ruby': 1, 'c c++ objective-c': 1, 'javascript ruby': 1, 'java javascript python': 1}"
26,237,['various aspect source github github amplify'],"['javascript', 'typescript', 'python', 'shell', 'c', 'c++', 'c#', 'java', 'php', 'go', 'ruby', 'assembly', 'objective-c', 'perl']","{'python shell': 22, 'javascript typescript': 20, 'go shell': 15, 'javascript shell': 13, 'javascript php': 10, 'objective-c ruby': 9, 'c c++ python shell': 7, 'javascript shell typescript': 7, 'javascript python shell': 6, 'c# javascript': 6, 'javascript python': 6, 'java shell': 6, 'ruby shell': 6, 'php shell': 6, 'java python': 5, 'c c# c++': 5, 'assembly c c++': 5, 'c c++ javascript': 5, 'c c++ java': 5, 'c# shell': 5, 'c c++ javascript python': 4, 'c c++': 4, 'javascript ruby shell': 4, 'assembly c c# c++': 4, 'c c++ objective-c': 4, 'java javascript': 4, 'c go': 4, 'java javascript python': 4, 'go javascript': 4, 'javascript php shell': 4, 'c javascript': 3, 'c c++ shell': 3, 'c++ python': 3, 'c java': 2, 'c python shell': 2, 'java javascript objective-c ruby': 2, 'c python': 2, 'java javascript shell': 2, 'c shell': 2, 'c c++ perl': 2, 'javascript ruby': 1, 'c objective-c ruby': 1, 'go javascript shell': 1, 'c c#': 1, 'java javascript objective-c': 1}"
35,173,['client android'],"['javascript', 'typescript', 'shell', 'c', 'c#', 'c++', 'python', 'java', 'ruby', 'assembly', 'objective-c', 'php', 'go']","{'javascript shell': 14, 'javascript typescript': 12, 'javascript shell typescript': 12, 'go shell': 12, 'java shell': 8, 'assembly c c++': 7, 'python shell': 7, 'c c# c++': 5, 'java javascript': 5, 'javascript python shell': 5, 'c python shell': 4, 'c c++ shell': 4, 'javascript ruby': 4, 'c c++ objective-c': 4, 'objective-c ruby': 4, 'c c++ java javascript': 4, 'javascript python': 3, 'ruby shell': 3, 'javascript php shell': 3, 'c c++ javascript': 3, 'php shell': 3, 'java python': 3, 'go python': 3, 'c c++ java': 3, 'java javascript objective-c ruby': 3, 'java javascript python': 3, 'c java': 2, 'c go': 2, 'javascript php': 2, 'c# javascript': 2, 'go javascript shell': 2, 'c c++ javascript python': 2, 'c c++': 2, 'c c#': 2, 'assembly c': 2, 'c javascript': 2, 'assembly c c# c++': 2, 'c# shell': 2, 'java javascript shell': 2, 'javascript ruby shell': 2, 'c++ python': 1, 'c c++ python shell': 1, 'c objective-c': 1, 'c objective-c ruby': 1}"
29,269,['snowflake visual editor board'],"['c', 'c++', 'java', 'javascript', 'shell', 'typescript', 'perl', 'assembly', 'python', 'objective-c', 'ruby', 'go', 'c#', 'php']","{'javascript shell': 20, 'python shell': 19, 'javascript python shell': 17, 'javascript typescript': 15, 'go shell': 14, 'assembly c c++': 13, 'javascript shell typescript': 11, 'c c++ perl': 9, 'c c++': 9, 'javascript php': 8, 'javascript python': 6, 'objective-c ruby': 6, 'c++ python': 6, 'c javascript': 6, 'java javascript': 6, 'ruby shell': 6, 'java shell': 6, 'c c++ objective-c': 5, 'go javascript shell': 5, 'c c++ javascript python': 5, 'c c++ javascript': 4, 'c# javascript': 4, 'go python': 4, 'c c# c++': 4, 'assembly c c# c++': 4, 'javascript ruby shell': 4, 'c c++ shell': 4, 'c c++ python shell': 4, 'c c++ java': 3, 'c shell': 3, 'c go': 3, 'php shell': 3, 'java javascript shell': 3, 'java python': 3, 'go javascript': 2, 'java javascript python': 2, 'c python shell': 2, 'c objective-c ruby': 2, 'c python': 2, 'c objective-c': 2, 'java javascript objective-c ruby': 2, 'javascript ruby': 2, 'c c#': 2, 'javascript php shell': 2, 'c c++ java javascript': 2, 'assembly c c#': 1, 'c java': 1, 'assembly c': 1, 'c# shell': 1, 'java javascript objective-c': 1}"
9,131,['source'],"['javascript', 'shell', 'python', 'typescript', 'assembly', 'c', 'c++', 'php', 'java', 'objective-c', 'c#', 'ruby', 'go', 'perl']","{'assembly c c++': 11, 'javascript shell': 9, 'javascript typescript': 6, 'javascript php shell': 6, 'javascript php': 5, 'javascript python shell': 5, 'c c++ python shell': 5, 'go shell': 5, 'javascript python': 4, 'assembly c c# c++': 4, 'javascript ruby': 4, 'c c++': 4, 'c c++ objective-c': 4, 'python shell': 4, 'c c++ java javascript': 3, 'javascript shell typescript': 3, 'c c++ javascript': 3, 'go javascript': 3, 'objective-c ruby': 3, 'java javascript': 3, 'c c++ shell': 3, 'java shell': 3, 'c objective-c': 2, 'c javascript': 2, 'c shell': 2, 'ruby shell': 2, 'c python shell': 2, 'c c++ java': 2, 'c c# c++': 2, 'java python': 2, 'javascript ruby shell': 2, 'java javascript objective-c': 1, 'c python': 1, 'c c#': 1, 'go javascript shell': 1, 'c java': 1, 'c# shell': 1, 'c c++ javascript python': 1, 'assembly c': 1, 'c c++ python': 1, 'c c++ perl': 1, 'c go': 1, 'c++ python': 1, 'java javascript python': 1}"
49,151,['nodejs background'],"['python', 'shell', 'ruby', 'java', 'javascript', 'objective-c', 'c', 'go', 'typescript', 'c++', 'c#', 'php', 'assembly', 'perl']","{'javascript typescript': 14, 'javascript shell': 10, 'javascript python shell': 10, 'python shell': 9, 'javascript shell typescript': 9, 'java shell': 8, 'c c++ python shell': 6, 'c++ python': 5, 'java javascript': 5, 'java javascript objective-c ruby': 4, 'javascript php': 4, 'c c++': 4, 'java javascript shell': 4, 'c c++ shell': 4, 'ruby shell': 3, 'c java': 3, 'go shell': 3, 'assembly c c++': 3, 'go javascript': 3, 'c c++ objective-c': 3, 'c python shell': 3, 'go python': 2, 'c c++ java javascript': 2, 'c c# c++': 2, 'c objective-c': 2, 'c# shell': 2, 'c shell': 2, 'javascript python': 2, 'javascript ruby': 2, 'c c++ javascript': 2, 'javascript php shell': 2, 'php shell': 2, 'c# javascript': 1, 'c c++ perl': 1, 'c javascript': 1, 'assembly c': 1, 'c objective-c ruby': 1, 'go javascript shell': 1, 'c c++ javascript python': 1, 'objective-c ruby': 1, 'assembly c c# c++': 1, 'java javascript python': 1, 'c c++ java': 1, 'javascript ruby shell': 1}"
13,141,['quality window driver'],"['go', 'shell', 'javascript', 'ruby', 'c', 'c#', 'c++', 'typescript', 'python', 'assembly', 'java', 'objective-c', 'php', 'perl']","{'javascript shell': 14, 'python shell': 13, 'go shell': 12, 'javascript typescript': 10, 'objective-c ruby': 9, 'javascript shell typescript': 7, 'c c++ java javascript': 4, 'c c++ javascript': 4, 'c c# c++': 3, 'c++ python': 3, 'assembly c c++': 3, 'c c++': 3, 'javascript python': 3, 'java shell': 3, 'javascript php shell': 3, 'c python shell': 3, 'javascript python shell': 3, 'c java': 3, 'c c++ java': 3, 'javascript ruby': 2, 'java javascript objective-c ruby': 2, 'c c++ javascript python': 2, 'c shell': 2, 'c objective-c': 2, 'c c++ shell': 2, 'c c++ perl': 2, 'go javascript': 2, 'c c++ python shell': 2, 'java javascript': 2, 'ruby shell': 2, 'c# javascript': 1, 'c# shell': 1, 'java python': 1, 'javascript php': 1, 'c javascript': 1, 'c c++ objective-c': 1, 'assembly c c# c++': 1, 'java javascript shell': 1, 'c python': 1, 'go python': 1, 'go javascript shell': 1, 'php shell': 1, 'c c++ python': 1}"
6,287,['kitchen plugins terraform configuration'],"['python', 'shell', 'javascript', 'typescript', 'c', 'c++', 'objective-c', 'ruby', 'go', 'c#', 'java', 'assembly', 'php', 'perl']","{'python shell': 28, 'javascript typescript': 23, 'javascript shell': 21, 'javascript shell typescript': 14, 'objective-c ruby': 14, 'javascript python': 13, 'go shell': 12, 'javascript python shell': 11, 'c c# c++': 11, 'c# javascript': 11, 'javascript ruby shell': 7, 'javascript php': 7, 'javascript php shell': 7, 'c shell': 7, 'java shell': 6, 'java javascript shell': 6, 'c++ python': 6, 'c c++ python shell': 5, 'c javascript': 5, 'c c++ javascript': 5, 'c c++': 5, 'javascript ruby': 5, 'c c++ objective-c': 4, 'c# shell': 4, 'c python shell': 4, 'c c++ javascript python': 3, 'c c++ java': 3, 'assembly c c++': 3, 'assembly c c# c++': 3, 'java javascript objective-c ruby': 3, 'java javascript': 3, 'c objective-c': 3, 'go python': 2, 'c go': 2, 'c python': 2, 'c c++ python': 2, 'ruby shell': 2, 'c objective-c ruby': 2, 'c java': 2, 'java python': 2, 'c c++ shell': 2, 'go javascript shell': 2, 'go javascript': 1, 'php shell': 1, 'c c++ java javascript': 1, 'java javascript python': 1, 'c c++ perl': 1}"
