id,languages,classifier,clfType,fileType
1604375,"['javascript', 'html', 'css', 'php', 'java', 'python', 'ruby', 'shell']",Shell*_JavaScript*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
4196881,"['c', 'python', 'shell', 'ruby', 'javascript']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
258750,"['ruby', 'javascript', 'html', 'css', 'python', 'shell']",Shell*_JavaScript*_Python*_Ruby*,IRI,"['.sh', '.bsh', '.zsh', '.py', '.rb', '.ts', '.js', '.html']"
66801,"['ruby', 'javascript', 'html', 'css']",JavaScript*_JS-CSS-HTML*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
1303056,"['python', 'shell']",Python*,IRI,['.py']
15606716,"['go', 'shell']",Shell*_Go*,IRI,"['.sh', '.bsh', '.zsh', '.go']"
2790220,"['shell', 'python']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
12902206,"['python', 'c', 'shell']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
9278888,"['java', 'shell']",Java-C,FFI,"['.java', '.c']"
3692188,"['html', 'css', 'shell', 'javascript']",JavaScript*_JS-CSS-HTML*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3276413,"['javascript', 'typescript']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
1600085,"['python', 'shell']",HI*,HI,['*']
2641410,"['php', 'html']",HI*,HI,['*']
7393427,"['java', 'css', 'php', 'python', 'html']",JavaScript*_JS-CSS-HTML*_Java*,IRI_ID,"['.java', '.ts', '.js', '.html', '.html', '.js', '.css']"
15188780,"['c++', 'objective-c', 'python', 'c', 'html', 'javascript', 'css', 'shell']",Shell*_C++-Objective-C_C-C++,FFI_IRI,"['.c', '.cpp', '.mm', '.sh', '.bsh', '.zsh']"
8786912,"['javascript', 'html', 'css', 'java', 'objective-c', 'shell']",JavaScript*_JS-CSS-HTML*_Shell*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
8122790,"['python', 'javascript', 'html', 'css']",JavaScript*_Python*_C-Python,FFI_IRI,"['.c', '.py', '.py', '.ts', '.js', '.html']"
1139119,"['c', 'shell', 'c++']",Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
8043756,"['c++', 'python', 'html']",HI*,HI,['*']
3829913,"['ruby', 'javascript', 'html']",JavaScript*_Ruby*,IRI,"['.rb', '.ts', '.js', '.html']"
9343284,"['javascript', 'shell']",JavaScript*,IRI,"['.ts', '.js', '.html']"
9517907,"['html', 'javascript', 'css', 'shell']",Shell*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
7941882,"['javascript', 'html', 'css']",JavaScript*_JS-CSS-HTML*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
2189967,"['python', 'javascript', 'html']",JavaScript*_Python*_C-Python,FFI_IRI,"['.c', '.py', '.py', '.ts', '.js', '.html']"
372315,"['java', 'shell']",Shell*_Java*,IRI,"['.sh', '.bsh', '.zsh', '.java']"
28955972,"['objective-c', 'html', 'ruby']",C++-Objective-C,FFI,['.mm']
12751570,"['python', 'html', 'javascript', 'css']",JavaScript*_JS-CSS-HTML*_Python*,IRI_ID,"['.py', '.ts', '.js', '.html', '.html', '.js', '.css']"
4815490,"['python', 'c', 'html', 'c++', 'shell', 'css']",Shell*_Python*_C-C++_C-Python,FFI_IRI,"['.c', '.cpp', '.c', '.py', '.sh', '.bsh', '.zsh', '.py']"
3037907,"['java', 'shell']",Java-C,FFI,"['.java', '.c']"
5741131,"['c++', 'c']",C-C++,FFI,"['.c', '.cpp']"
680799,"['shell', 'html']",Shell*_JavaScript*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
12635853,"['html', 'javascript', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
13914116,"['php', 'html', 'javascript', 'python', 'css', 'shell']",Shell*_JavaScript*_PHP*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.php']"
19245530,"['typescript', 'shell', 'javascript']",Shell*_JS-CSS-HTML*,IRI_ID,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
28612154,"['javascript', 'c', 'python']",Java-C,FFI,"['.java', '.c']"
3291848,"['java', 'shell']",Java-C,FFI,"['.java', '.c']"
18490421,"['c++', 'c', 'shell', 'objective-c', 'python']",Shell*_Python*_C-C++,FFI_IRI,"['.c', '.cpp', '.py', '.sh', '.bsh', '.zsh']"
5561238,"['go', 'shell']",Shell*_Go*,IRI,"['.sh', '.bsh', '.zsh', '.go']"
3206879,"['html', 'css', 'shell']",JavaScript*_Shell*,IRI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
13745124,"['java', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
22897489,"['html', 'javascript', 'css']",JavaScript*_JS-CSS-HTML*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
9265076,"['javascript', 'css', 'html']",JavaScript*_JS-CSS-HTML*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
1147007,"['shell', 'python', 'ruby']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
605459,"['c', 'c++', 'shell', 'objective-c']",Shell*_C-C++_Java-C,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh']"
2183338,"['java', 'css', 'html', 'javascript', 'python', 'ruby']",Java*_JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.java', '.html', '.js', '.css']"
12726564,"['python', 'html', 'javascript', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
22793191,"['javascript', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
8161461,"['java', 'html', 'python', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
8207159,"['c++', 'c', 'objective-c', 'shell']",Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
13559106,"['python', 'javascript', 'html', 'shell', 'css']",Shell*_Python*_JavaScript*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.py']"
