id,classifier,clfType,fileType
11551538,HD*,Hidden dependence,['*']
11267509,Java-C,FFI,"['.java', '.c']"
27442967,Ruby*,Implicit dependence,['.rb']
26066727,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
952189,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
15634981,C++-Ruby,FFI,['.mm']
1200050,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
667006,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
8681349,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
931135,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
13807606,Ruby*,Implicit dependence,['.rb']
9393759,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
698041,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
6093316,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1844251,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
26516210,Python*,Implicit dependence,['.py']
29207621,HD*,Hidden dependence,['*']
10446890,Java-C,FFI,"['.java', '.c']"
15019962,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
21600440,HD*,Hidden dependence,['*']
1644196,Java-C,FFI,"['.java', '.c']"
15452919,Ruby-Go,FFI,['.go']
5239185,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
349241,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
18049133,HD*,Hidden dependence,['*']
8575137,HD*,Hidden dependence,['*']
26783295,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
27729880,C-Python,FFI,"['.c', '.py']"
2562751,Java-C,FFI,"['.java', '.c']"
25315643,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3620194,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
317757,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
28167802,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1283503,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
873328,C-Python,FFI,"['.c', '.py']"
4578002,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
481366,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
3774328,HD*,Hidden dependence,['*']
858127,C-Python,FFI,"['.c', '.py']"
6452529,C-Python,FFI,"['.c', '.py']"
25136308,HD*,Hidden dependence,['*']
29891188,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
3577919,HD*,Hidden dependence,['*']
2579314,HD*,Hidden dependence,['*']
2329766,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
3482588,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
458058,HD*,Hidden dependence,['*']
11620669,HD*,Hidden dependence,['*']
3721224,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1064563,Java-C,FFI,"['.java', '.c']"
313419,HD*,Hidden dependence,['*']
15585444,HD*,Hidden dependence,['*']
1631024,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
667561,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
13840241,Ruby*,Implicit dependence,['.rb']
29887499,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1864363,HD*,Hidden dependence,['*']
2500088,Ruby*,Implicit dependence,['.rb']
5070389,HD*,Hidden dependence,['*']
13078968,HD*,Hidden dependence,['*']
18280236,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
2096579,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
5532320,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1801829,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
13584262,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
2541284,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3757512,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
8859474,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
24841635,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1028340,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
790359,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3602123,HD*,Hidden dependence,['*']
23736449,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
995750,HD*,Hidden dependence,['*']
28751632,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
4037197,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
2700474,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
308770,HD*,Hidden dependence,['*']
9603240,HD*,Hidden dependence,['*']
24635156,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
17728164,Ruby-Go,FFI,['.go']
18044526,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
4484451,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
20619036,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
16607898,HD*,Hidden dependence,['*']
25880891,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
7607075,HD*,Hidden dependence,['*']
11276147,HD*,Hidden dependence,['*']
597879,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
23069399,HD*,Hidden dependence,['*']
1481305,HD*,Hidden dependence,['*']
29261473,Ruby-Go,FFI,['.go']
958314,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
18840003,HD*,Hidden dependence,['*']
18275356,C++-Ruby,FFI,['.mm']
23405758,HD*,Hidden dependence,['*']
3606624,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
6988020,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1580851,HD*,Hidden dependence,['*']
18347476,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
2056312,HD*,Hidden dependence,['*']
1254497,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
2810455,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
481872,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
7212645,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
15308499,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
20965586,HD*,Hidden dependence,['*']
9754983,Java-C,FFI,"['.java', '.c']"
20429943,HD*,Hidden dependence,['*']
27574418,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
3431083,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
23338716,HD*,Hidden dependence,['*']
6766558,Java*,Implicit dependence,['.java']
734934,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
5362507,HD*,Hidden dependence,['*']
3727706,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
10028006,HD*,Hidden dependence,['*']
28814210,HD*,Hidden dependence,['*']
20651238,HD*,Hidden dependence,['*']
29461626,HD*,Hidden dependence,['*']
20870711,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
7895524,HD*,Hidden dependence,['*']
5293802,Java-C,FFI,"['.java', '.c']"
4539386,HD*,Hidden dependence,['*']
17183871,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
14899596,HD*,Hidden dependence,['*']
6786166,Java-C,FFI,"['.java', '.c']"
27852036,HD*,Hidden dependence,['*']
4165675,Python*,Implicit dependence,['.py']
316198,HD*,Hidden dependence,['*']
9342529,Java-C,FFI,"['.java', '.c']"
15383182,HD*,Hidden dependence,['*']
11682335,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
24804430,HD*,Hidden dependence,['*']
8096326,Java-C,FFI,"['.java', '.c']"
12502664,HD*,Hidden dependence,['*']
11966941,HD*,Hidden dependence,['*']
3618133,C-Python,FFI,"['.c', '.py']"
1485595,HD*,Hidden dependence,['*']
3655872,HD*,Hidden dependence,['*']
861781,Ruby*,Implicit dependence,['.rb']
1051476,Java-C,FFI,"['.java', '.c']"
5244445,Java*,Implicit dependence,['.java']
5425992,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
16149854,HD*,Hidden dependence,['*']
5180577,HD*,Hidden dependence,['*']
12398170,HD*,Hidden dependence,['*']
15771504,Python*,Implicit dependence,['.py']
5490568,Java*,Implicit dependence,['.java']
5542727,HD*,Hidden dependence,['*']
4512368,C-Python,FFI,"['.c', '.py']"
1017748,HD*,Hidden dependence,['*']
3072629,HD*,Hidden dependence,['*']
23096336,HD*,Hidden dependence,['*']
2158982,Java-C,FFI,"['.java', '.c']"
23015874,HD*,Hidden dependence,['*']
15067924,HD*,Hidden dependence,['*']
16211818,Python*,Implicit dependence,['.py']
26750407,HD*,Hidden dependence,['*']
10132053,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
15803421,HD*,Hidden dependence,['*']
19347340,C++-Ruby,FFI,['.mm']
5595950,Python*,Implicit dependence,['.py']
10298815,HD*,Hidden dependence,['*']
1030255,Python*,Implicit dependence,['.py']
3224614,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
9801644,Python*,Implicit dependence,['.py']
453037,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1418941,C-Python,FFI,"['.c', '.py']"
2105143,HD*,Hidden dependence,['*']
1588997,HD*,Hidden dependence,['*']
1122534,Ruby*,Implicit dependence,['.rb']
14238949,Ruby*,Implicit dependence,['.rb']
14265145,Python*,Implicit dependence,['.py']
12871240,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
5977187,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
4166277,Java-C,FFI,"['.java', '.c']"
3354338,HD*,Hidden dependence,['*']
3506930,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12662085,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
14037931,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1318988,HD*,Hidden dependence,['*']
3633213,HD*,Hidden dependence,['*']
370242,Ruby*,Implicit dependence,['.rb']
5103785,Java-C,FFI,"['.java', '.c']"
4011054,HD*,Hidden dependence,['*']
363,HD*,Hidden dependence,['*']
25233035,HD*,Hidden dependence,['*']
25261765,HD*,Hidden dependence,['*']
12236152,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
23707362,C-Python,FFI,"['.c', '.py']"
29702213,Java-C,FFI,"['.java', '.c']"
6584365,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
17944871,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
990035,C-Python,FFI,"['.c', '.py']"
10262364,Java-C,FFI,"['.java', '.c']"
239001,HD*,Hidden dependence,['*']
14437755,HD*,Hidden dependence,['*']
27791908,Java-C,FFI,"['.java', '.c']"
11233996,Java-C,FFI,"['.java', '.c']"
942613,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
900753,HD*,Hidden dependence,['*']
11573,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
7764585,HD*,Hidden dependence,['*']
25688387,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
790031,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
12799539,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
27942236,HD*,Hidden dependence,['*']
11324991,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
6601918,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
19033749,HD*,Hidden dependence,['*']
938475,HD*,Hidden dependence,['*']
10855394,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
23806326,Java-C,FFI,"['.java', '.c']"
12235583,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1629150,HD*,Hidden dependence,['*']
26398337,HD*,Hidden dependence,['*']
18302786,C-Python,FFI,"['.c', '.py']"
22631422,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
2556327,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1126087,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
24470090,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
15061404,Java-C,FFI,"['.java', '.c']"
276963,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
20983247,HD*,Hidden dependence,['*']
1637930,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1800453,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
2717454,HD*,Hidden dependence,['*']
17720496,HD*,Hidden dependence,['*']
7251195,C-Python,FFI,"['.c', '.py']"
2524005,Ruby*,Implicit dependence,['.rb']
11671410,HD*,Hidden dependence,['*']
21758436,Java*,Implicit dependence,['.java']
19421170,HD*,Hidden dependence,['*']
27703983,HD*,Hidden dependence,['*']
7296244,Java-C,FFI,"['.java', '.c']"
22670215,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1650371,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
22491515,HD*,Hidden dependence,['*']
1377159,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
7362671,Ruby*,Implicit dependence,['.rb']
1161862,HD*,Hidden dependence,['*']
17033786,HD*,Hidden dependence,['*']
11759482,HD*,Hidden dependence,['*']
2655877,HD*,Hidden dependence,['*']
3038446,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
2687787,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12387090,HD*,Hidden dependence,['*']
19581797,HD*,Hidden dependence,['*']
13536393,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
25528021,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
22613546,HD*,Hidden dependence,['*']
25940829,Java-C,FFI,"['.java', '.c']"
5373673,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
21315049,HD*,Hidden dependence,['*']
8044474,HD*,Hidden dependence,['*']
12467623,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
29375063,HD*,Hidden dependence,['*']
4195149,HD*,Hidden dependence,['*']
11670330,Ruby*,Implicit dependence,['.rb']
26709811,HD*,Hidden dependence,['*']
2661753,Ruby*,Implicit dependence,['.rb']
143489,HD*,Hidden dependence,['*']
14279525,Ruby*,Implicit dependence,['.rb']
1735985,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
22046596,HD*,Hidden dependence,['*']
2727,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
21659615,HD*,Hidden dependence,['*']
814715,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
17890722,HD*,Hidden dependence,['*']
15489219,HD*,Hidden dependence,['*']
25872841,HD*,Hidden dependence,['*']
14305727,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
16974335,HD*,Hidden dependence,['*']
25605151,HD*,Hidden dependence,['*']
9395939,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
2750721,Python*,Implicit dependence,['.py']
512295,Java-C,FFI,"['.java', '.c']"
20829815,HD*,Hidden dependence,['*']
9626741,C-Python,FFI,"['.c', '.py']"
704114,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
11907506,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
13445293,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
25225549,HD*,Hidden dependence,['*']
23524300,HD*,Hidden dependence,['*']
6034984,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12798028,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
26461730,HD*,Hidden dependence,['*']
2813939,HD*,Hidden dependence,['*']
10045028,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
18117991,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
15937203,HD*,Hidden dependence,['*']
22978655,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1566536,HD*,Hidden dependence,['*']
21898301,C-Go,FFI,['.go']
10634962,HD*,Hidden dependence,['*']
8077402,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
13982751,HD*,Hidden dependence,['*']
4087724,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
24763574,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
19784232,C-Python,FFI,"['.c', '.py']"
9113587,C-Python,FFI,"['.c', '.py']"
1333726,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
21050788,HD*,Hidden dependence,['*']
26192117,C-Go,FFI,['.go']
1309434,Ruby*,Implicit dependence,['.rb']
5543112,HD*,Hidden dependence,['*']
3228110,HD*,Hidden dependence,['*']
11722089,HD*,Hidden dependence,['*']
23205911,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
14718089,HD*,Hidden dependence,['*']
25586782,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
274218,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
13674972,HD*,Hidden dependence,['*']
1527521,HD*,Hidden dependence,['*']
21329550,Java-C,FFI,"['.java', '.c']"
1939769,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
1733272,HD*,Hidden dependence,['*']
1707621,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
26456792,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
984742,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
778828,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
228094,Java-C,FFI,"['.java', '.c']"
4878628,HD*,Hidden dependence,['*']
22292230,HD*,Hidden dependence,['*']
6648028,C-Python,FFI,"['.c', '.py']"
1149618,HD*,Hidden dependence,['*']
18513454,HD*,Hidden dependence,['*']
12550138,C-Python,FFI,"['.c', '.py']"
25739007,HD*,Hidden dependence,['*']
791299,C++-Ruby,FFI,['.mm']
16514887,HD*,Hidden dependence,['*']
15342073,HD*,Hidden dependence,['*']
16413228,HD*,Hidden dependence,['*']
21690229,HD*,Hidden dependence,['*']
20986101,HD*,Hidden dependence,['*']
761653,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
15745219,HD*,Hidden dependence,['*']
1410762,HD*,Hidden dependence,['*']
1410762,HD*,Hidden dependence,['*']
2006314,HD*,Hidden dependence,['*']
1584707,HD*,Hidden dependence,['*']
11440704,HD*,Hidden dependence,['*']
8302181,C++-Ruby,FFI,['.mm']
10081171,HD*,Hidden dependence,['*']
23092563,HD*,Hidden dependence,['*']
10721619,Java-C,FFI,"['.java', '.c']"
2279062,HD*,Hidden dependence,['*']
